#CompanyISID,ItemID,ArrivalRequestDate,DemandQty
Market,C,2023/5/27,50
Market,C,2023/5/20,50
Market,C,2023/5/13,50
Market,C,2023/5/6,50
Market,C,2023/4/29,50
Market,C,2023/4/22,50
Market,C,2023/4/15,50
Market,C,2023/4/8,50
Market,C,2023/4/1,50
Market,C,2023/3/25,50
Market,C,2023/3/18,50
Market,C,2023/3/11,50
Market,C,2023/3/4,50
Market,C,2023/2/25,50
Market,C,2023/2/18,50
Market,C,2023/2/11,50
Market,C,2023/2/4,50
Market,C,2023/1/28,50
Market,C,2023/1/21,50
Market,C,2023/1/14,50
Market,C,2023/1/7,50
Market,B,2023/5/27,50
Market,B,2023/5/20,50
Market,B,2023/5/13,50
Market,B,2023/5/6,50
Market,B,2023/4/29,50
Market,B,2023/4/22,50
Market,B,2023/4/15,50
Market,B,2023/4/8,50
Market,B,2023/4/1,50
Market,B,2023/3/25,50
Market,B,2023/3/18,50
Market,B,2023/3/11,50
Market,B,2023/3/4,50
Market,B,2023/2/25,50
Market,B,2023/2/18,50
Market,B,2023/2/11,50
Market,B,2023/2/4,50
Market,B,2023/1/28,50
Market,B,2023/1/21,50
Market,B,2023/1/14,50
Market,B,2023/1/7,50
Market,A,2023/5/27,50
Market,A,2023/5/20,50
Market,A,2023/5/13,50
Market,A,2023/5/6,50
Market,A,2023/4/29,50
Market,A,2023/4/22,50
Market,A,2023/4/15,50
Market,A,2023/4/8,50
Market,A,2023/4/1,50
Market,A,2023/3/25,50
Market,A,2023/3/18,50
Market,A,2023/3/11,50
Market,A,2023/3/4,50
Market,A,2023/2/25,50
Market,A,2023/2/18,50
Market,A,2023/2/11,50
Market,A,2023/2/4,50
Market,A,2023/1/28,50
Market,A,2023/1/21,50
Market,A,2023/1/14,50
Market,A,2023/1/7,50
