#AgentClassID,AgentClassName,AgentClassType
AC001,販売計画エージェント,ACSalesPlan
AC002,供給計画エージェント,ACSupplyPlan
AC003,出庫指示エージェント,ACShipInstruction
AC004,生産計画エージェント,ACProductionPlan
AC005,生産指示エージェント,ACProductionInstruction
AC006,調達計画エージェント,ACProcurementPlan
AC007,注文発行エージェント,ACPurchaseOrder
#AC008,製品在庫融通エージェント,ACProdStockAccomCoord
#AC009,部品在庫融通エージェント,ACPartsStockAccomCoord
AC010,製品在庫水準エージェント,ACProdStocklevel
AC011,部品在庫水準エージェント,ACPartsStocklevel
AC012,注残融通エージェント,ACBacklogAccomCoord
AC013,在庫融通エージェント,ACStockAccomCoord

#追加
AC008,リソース状態値計算エージェント,ACResourceMonitoring
AC009,移送指示最適化エージェント,ACInventoryAssignmentOptimization
AC014,加工/検査計画エージェント,ACInspectionPlan
AC015,加工/検査指示エージェント,ACInspectionInstruction
