#UpdateLogicID,UpdateLogicName,CompanyClassID,AgentClassID,DllFileName,DllFunctionName,Remarks
LP_sales_01,需要予測&注残依存(洗い替え更新),CC002,AC001,,,エージェント起動時点の予測立案時点の需要予測と注残を考慮した販売計画を立案(オリジナル名称)
LP_sales_02,需要予測&注残依存&過去予測流用(差分更新),CC002,AC001,,,エージェント起動時点に最も近い日付の予測立案時点の需要予測と注残を考慮した販売計画を立案(オリジナル名称)
LP_sales_03,需要予測&注残依存(洗い替え更新&時分単位考慮),CC002,AC001,,,エージェント起動時点の予測立案時点の需要予測と注残を考慮した販売計画を立案(時分単位考慮)(オリジナル名称)
Sales_FullyReplaceWithForecast,需要予測&注残依存(洗い替え更新),CC002,AC001,,,エージェント起動時点の予測立案時点の需要予測と注残を考慮した販売計画を立案(LP_sales_01)
Sales_DiffReplaceWithForecast,需要予測&注残依存&過去予測流用(差分更新),CC002,AC001,,,エージェント起動時点に最も近い日付の予測立案時点の需要予測と注残を考慮した販売計画を立案(LP_sales_02)
Sales_FullyReplaceWithForecast(TimeUnit),需要予測&注残依存(洗い替え更新&時分単位考慮),CC002,AC001,,,エージェント起動時点の予測立案時点の需要予測と注残を考慮した販売計画を立案(時分単位考慮)(LP_sales_03)
Sales_DiffReplaceWithForecast(TimeUnit),需要予測&注残依存過去予測流用(差分更新)(時分単位考慮),CC002,AC001,,,エージェント起動時点に最も近い日付の予測立案時点の需要予測と注残を考慮した販売計画を立案(時分単位考慮)
Sales_DiffReplaceWithForecast&DemandPriority,需要予測(過去予測許容)＆注残依存＆優先度考慮,CC002,AC001,,,販社販売計画ロジック:需要予測(過去予測許容)＆注残依存＆優先度考慮
LP_supply_01,調達計画＆注残依存(配分率考慮)(L002),CC003,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(配分率考慮)(オリジナル名称)
LP_supply_01,調達計画＆注残依存(配分率考慮)(L002),CC004,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(配分率考慮)(オリジナル名称)
LP_supply_01,調達計画＆注残依存(配分率考慮)(L002),CC009,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(配分率考慮)(オリジナル名称)
Supply_RefDestinationProcPlan&DemandPriority,納入先調達計画＆注残依存(優先度考慮),CC004,AC002,,,倉庫供給計画ロジック:納入先調達計画&注残依存(優先度考慮)
LP_supply_02,外部ファイル供給予測 /納入先調達計画＆注残依存,CC003,AC002,,,エージェント起動時点の予測立案時点外部ファイル供給予測/納入先調達計画＆注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_02,外部ファイル供給予測 /納入先調達計画＆注残依存,CC004,AC002,,,エージェント起動時点の予測立案時点外部ファイル供給予測/納入先調達計画＆注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_02,外部ファイル供給予測 /納入先調達計画＆注残依存,CC009,AC002,,,エージェント起動時点の予測立案時点外部ファイル供給予測/納入先調達計画＆注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_03,外部ファイル供給予測＆注残依存(過去供給予測許容),CC003,AC002,,,エージェント起動時点に最も近い日付の外部ファイル供給予測と注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_03,外部ファイル供給予測＆注残依存(過去供給予測許容),CC004,AC002,,,エージェント起動時点に最も近い日付の外部ファイル供給予測と注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_03,外部ファイル供給予測＆注残依存(過去供給予測許容),CC009,AC002,,,エージェント起動時点に最も近い日付の外部ファイル供給予測と注残を考慮した供給計画を立案(オリジナル名称)
LP_supply_04,納入先調達計画&注残依存(時分単位考慮)(配分率無考慮),CC003,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(時分単位考慮)(配分率無考慮)(オリジナル名称)
LP_supply_04,納入先調達計画&注残依存(時分単位考慮)(配分率無考慮),CC004,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(時分単位考慮)(配分率無考慮)(オリジナル名称)
LP_supply_04,納入先調達計画&注残依存(時分単位考慮)(配分率無考慮),CC009,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(時分単位考慮)(配分率無考慮)(オリジナル名称)
LP_supply_05,外部ファイル供給予測 /納入先調達計画&注残依存(時分単位考慮),CC003,AC002,,,エージェント起動時点の予測立案時点外部ファイル供給予測/納入先調達計画＆注残を考慮した供給計画を立案(時分単位考慮)(オリジナル名称)
LP_supply_05,外部ファイル供給予測 /納入先調達計画&注残依存(時分単位考慮),CC004,AC002,,,エージェント起動時点の予測立案時点外部ファイル供給予測/納入先調達計画＆注残を考慮した供給計画を立案(時分単位考慮)(オリジナル名称)
LP_supply_06,外部ファイル供給予測＆注残依存(過去供給予測許容)(時分単位考慮),CC003,AC002,,,エージェント起動時点に最も近い日付の外部ファイル供給予測と注残を考慮した供給計画を立案(時分単位考慮)(オリジナル名称)
LP_supply_06,外部ファイル供給予測＆注残依存(過去供給予測許容)(時分単位考慮),CC004,AC002,,,エージェント起動時点に最も近い日付の外部ファイル供給予測と注残を考慮した供給計画を立案(時分単位考慮)(オリジナル名称)
Supply_RefDestinationProcPlan(UsingAllocRate),調達計画＆注残依存(配分率考慮),CC003,AC002,,,出庫先の企業ISの調達計画を参照し、供給計画を立案(配分率考慮)(LP_supply_01)
